City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
0,Bambous Virieux,-20.3428,57.7575,68.25,moderate rain,94,75,13.8,MU
1,Busselton,-33.65,115.3333,46.04,overcast clouds,68,100,13.51,AU
2,Khatanga,71.9667,102.5,75.61,overcast clouds,57,99,15.93,RU
3,Ushuaia,-54.8,-68.3,37.06,drizzle,93,90,8.05,AR
4,Bluff,-46.6,168.3333,49.8,few clouds,70,17,15.57,NZ
5,Banda Aceh,5.5577,95.3222,80.06,scattered clouds,80,39,12.73,ID
6,Kabale,-1.2486,29.9899,59.27,broken clouds,59,82,2.08,UG
7,Puerto Escondido,15.85,-97.0667,86.41,overcast clouds,68,95,4.97,MX
8,Port Alfred,-33.5906,26.891,68.23,clear sky,43,4,12.64,ZA
9,Provideniya,64.3833,-173.3,48.31,moderate rain,93,90,6.71,RU
10,Ilulissat,69.2167,-51.1,55.42,overcast clouds,62,100,2.3,GL
11,Jamestown,42.097,-79.2353,77.09,overcast clouds,64,96,7.0,US
12,Narrabri,-30.3167,149.7833,52.97,clear sky,61,0,14.41,AU
13,Iquitos,-3.7481,-73.2472,80.71,overcast clouds,73,98,1.34,PE
14,Victoria,22.2855,114.1577,87.96,moderate rain,91,98,11.01,HK
15,Torbay,47.6666,-52.7314,67.28,light rain,95,90,16.11,CA
16,Chuy,-33.6971,-53.4616,43.57,few clouds,66,13,16.31,UY
17,Punta Arenas,-53.15,-70.9167,42.91,broken clouds,87,75,12.66,CL
18,San Patricio,28.017,-97.5169,96.89,overcast clouds,43,86,11.72,US
19,Saint-Philippe,-21.3585,55.7679,67.59,light rain,85,50,14.2,RE
20,Vaini,-21.2,-175.2,70.79,light rain,77,100,13.98,TO
21,Nanakuli,21.3906,-158.1547,84.04,broken clouds,64,72,12.95,US
22,Mataura,-46.1927,168.8643,49.48,scattered clouds,88,40,0.76,NZ
23,Taoudenni,22.6783,-3.9836,104.4,scattered clouds,6,45,10.38,ML
24,San Ramon De La Nueva Oran,-23.1322,-64.326,57.42,broken clouds,44,83,3.58,AR
25,Hobart,-42.8794,147.3294,55.26,light rain,81,75,4.0,AU
26,Nueva Concepcion,14.2,-91.3,87.17,broken clouds,77,69,6.98,GT
27,Butaritari,3.0707,172.7902,81.72,overcast clouds,70,98,3.49,KI
28,Alamosa,37.4695,-105.87,83.71,clear sky,28,1,14.97,US
29,Sao Joao Da Barra,-21.6403,-41.0511,72.41,clear sky,85,2,19.98,BR
30,Kruisfontein,-34.0033,24.7314,54.88,clear sky,94,5,6.93,ZA
31,Cabo San Lucas,22.8909,-109.9124,99.81,scattered clouds,67,47,11.79,MX
32,Igrim,63.1906,64.4162,42.13,few clouds,78,15,5.06,RU
33,Kulhudhuffushi,6.6221,73.07,81.73,broken clouds,78,78,14.25,MV
34,Hanover,52.3705,9.7332,66.09,clear sky,94,0,4.61,DE
35,Ziro,27.6333,93.8333,59.11,overcast clouds,97,90,3.27,IN
36,Atuona,-9.8,-139.0333,77.5,light rain,71,16,18.43,PF
37,Nemuro,43.3236,145.575,64.29,overcast clouds,95,99,7.65,JP
38,Lata,40.1629,-8.3327,63.01,clear sky,96,2,3.51,PT
39,Cape Town,-33.9258,18.4232,55.09,light rain,82,83,1.01,ZA
40,Hilo,19.7297,-155.09,80.33,light rain,83,90,6.91,US
41,Stornoway,58.2093,-6.3865,53.92,overcast clouds,94,90,6.91,GB
42,Rikitea,-23.1203,-134.9692,74.62,overcast clouds,77,100,15.01,PF
